comment,likes,date
"Can't wait til their driver updates, ruin older cards so you have to buy new ones",0,1년 전
" @LinusTechTips  nah, he meant 5070 is 3090 performance at 549… 😉",0,1년 전
no bueno for hot countries 5070suc,0,1년 전
You had me at the thumbnail,0,1년 전
Can't wait for the embargo to lift on the 9070 XT. I'm actually pretty excited. I might upgrade finally,0,1년 전
Should I just get a 4090 because regardless of price I could get any card or should I try to get a 5090,0,1년 전
"we need vr preformance testing on the new amd cards. Ive been putting amd off because of how terrible their vr support was/might still be, but now that the nvidia market is absolutely cooked im leaning red.",0,1년 전
Is there a video explaining the specific methodology LTT uses for AI benchmarks? It would be nice to know.,0,1년 전
 @LinusTechTips  Make the same video for the 5090 please!,0,1년 전
I cannot agree with you any more.,0,1년 전
"Are we all seeing the beginning Downfall of Nvidia Like we all seen with Intel when AMD Ryzen slowly took Intel's profits because the quality of Intel processors went downhill and it is getting Obvious Nvidia is suffering from very poor-quality control from GPUs burning out from bad connectors and crazy high prices on GPUs that cannot outperform their own last Generation of GPUs, So yup I smell stock price drops in NVidia's future and they cannot afford to do this right now with AMD dropping really attractive GPUs under 600 dollars which will most likely end up being one of the most popular GPUs AMD has ever made!!!",0,1년 전
Did ur GPU have all it's rops?,0,1년 전
I really like this type of thumbnail. It's funny but also polished and has class. Not just because of the suit but because it's interesting without looking clickbaity. It stands out in a good way. It has taste. If Linus is reading this I hope he takes this as feedback that this is something his viewers want.,0,1년 전
You’re selling out mate. How much money is enough for you?,0,1년 전
"Sheesh, slow down guys",0,1년 전
"Want to laugh out loud? Read about the manufacturing process of Nvidia's 6000 series, and you'll be shocked - it's the same 5 'improved' nanometers. These will be just another 0-5 FPS improvements compared to the 5000 generation.",0,10개월 전
5:21 showing 5080specs labeled as 5070ti specs.,11,1년 전
 @narfsc2657  No those are GB203/GB205 specs. Because the 5070ti and 5080 share the same gpu chip (GB203) they will have the same specs. LTT gave accurate information.,0,1년 전
Ok bet,6,1년 전
the truth is that 95% of games don't need to use the latest and greatest graphics technology because it doesn't offer anything in terms of the gameplay. It's an easy way for the hardware industry to keep generating income by selling you upgrades you don't need every few years.,6,1년 전
I just wanna tell u. You do this test before graphic card updates.,0,1년 전
GamerNexus was right you're so bad with correct information. I suggest cut down some employees and work on smaller videos. Don't stress yourself with numerous videos that provide no value.,0,1년 전
"@HeroVax  I would say the main difference between ltt and gamers nexus is the ability to admit they were wrong. Gamers nexus has misinformed many times except they won't acknowledge it like ltt does, instead they put it on their site so you would have to go out of your way to find out. Ltt is, at the very least, willing to make corrections in visable places.",0,1년 전
hello!,5,1년 전
"People complaining about “fake frames” like bro, every single frame is fake. It’s a video game.",8,1년 전
" @kylevanderaa1229 the frames are fake, the input latency and ghostings are very real",0,1년 전
" @kylevanderaa1229  the term fake frames is relative, ""real frames""  are consider frames render by the GPU. ""fake frames"" are the frames that are interrupted by A.I based and the frames the are rendered by the GPU.",0,1년 전
its good,1,1개월 전
"absolutely, that's a huge jump",1,3주 전
Jim Carrey reference is good af ✊🏾💪🏾,0,2개월 전
"Just because you mention that your hoodie is expensive that doesn’t validate a 150$ hoodie, especially a hoodie that looks straight from Walmart.",1,2개월 전
I remember coping my 4090 for 2K and now its 3.2K. Thank god!,1,2개월 전
well i got one at msrp right before the rammageddon so im not complaining too much,0,2개월 전
Damn 5070 can't even compete with 4070ti 😂,0,2개월 전
"i will buy the 5070 anyway, 4070 is 3000 more than the 5070 in my country, and i will buy it on paraguay, so i will get it for like 3k, which here is not too much, its like the price of a new rtx 3060",0,2개월 전
So I should have got a 4090? Shit lol,0,2개월 전
and i've just bought 5070... damn :(,0,2개월 전
And today he is saying dlss 5 is not slop.,2,2개월 전
"Game tech innovation has been so backwards the last few years. Why instead of making cards, engines etc that can natively be able to run at higher resolutions and whatnot they invested  time and money to figure out shortcuts using AI that ultimately doesnt make much progress and people dont like using or outright hate that they exist? So weird.",0,2개월 전
"Recently, I got 7800xt OC and it really beats this 5070 scam card as soon as RT is disabled",1,2개월 전
"the hoodie shouldve had some kind of funny labeling where the seams are like ""specific stitch"" like motherboards are labled :p that is it doesnt already",0,2개월 전
150$ for a hoodie is diabolical,2,2개월 전
"I had a 660ti and now I have a 5070, and I had to laugh out loud when I watched the video.",0,3개월 전
Things weren't like this back then in RTX 20xx and 30xx series.,3,3개월 전
Good Joke xDDDD.,2,3개월 전
"imo 5070 ti feels like an actual xx70 series card, everything below that feels like its one tier lower
i guess that would make rtx 5050 feel like 5040",0,3개월 전
Just paid $620 for one,2,3개월 전
0:10 and yet we we all paid $40”more than what it was worth. -_-,0,3개월 전
"Frame generation increases displayed FPS
but does not double your real render throughput.
Latency depends mostly on base FPS.
Example:60 real FPS + frame gen → 120 displayed FPS
Input latency still behaves closer to 60 FPS
That’s why:
Competitive multiplayer players avoid frame gen
It’s best for cinematic single-player 
So calling it “basically a single-player feature” is a reasonable opinion in competitive contexts.
That’s a valid technical stance.
ITS A SINGLE PLAYER CARD.",2,3개월 전
@supernoviy have you seen prices of 4090 can’t get one… 2700-4k for one like wth,1,4주 전
It's still a good card but...should have bought the 4090 super lol,0,2개월 전
" @12932K  you manufactured it yourself? Officially there's no such thing as a ""4090 super"", so it's either that or you mixed it up with some other card.",1,1개월 전
"20 was basicly the 10's with RT support. 30's actually made a difference by taking more power and having more core counts, but was under the hood what the 20's should have been. 40's actually was a new card. 50's is just Ti variants of 40's. I know they want people to upgrade every gen, but they are making it hard to justify it at these prices. I really hope 60's is purely just focused on either raw power, or at least raw RT power. these Ai features are starting to get long in the tooth.",0,2개월 전
I don’t want fake frames.,0,4개월 전
"5070 is just a rename 5060, 5070TI is the real 5070.",4,4개월 전(수정됨)
But the 4070 super is more expensive,1,4개월 전
That's just embarrassing... good grief,0,4개월 전
"its the reason IM going AMD 9070 non xt to be exact , oh and also the stupid connectors!!!",0,4개월 전
i love lebron it is unfortunate that he is retiring,0,4개월 전
I've just upgraded from my 2080ti and I'm happy 👍🏻,2,4개월 전
"even if nvidia lost the plot i went from a 2060 to a 5070 and i couldnt spend any more so its worth it for me, was a huge upgrade and im happy",1,4개월 전
Can we get a redo of this video with the new 4.5,1,4개월 전
Tf is nvidia trying to pull these days,1,4개월 전
"""Most gamers won't care"" -- I enjoy building PCs. I've built 7. I game on a 4K 160 hz moniotor. I use DLSS on all games at 4K and don't mind turning settings to medium or low to achieve 60 FPS or higher on games that aren't BF6 or really setup for optimizing the settings etc. I'm trying to figure out if I should care or shouldn't care? I own a RTX 5070. I missed getting the Ti when it was only $180 more than I paid for 5070 so that's a regret.",4,4개월 전
Now a 3060 = 5060,1,4개월 전
"Finding this video after 6 months of owing RTX5070
 :(",1,4개월 전
